departure location: 40-261 or 279-955
departure station: 33-375 or 394-963
departure platform: 39-863 or 877-970
departure track: 30-237 or 256-955
departure date: 47-731 or 741-950
departure time: 38-301 or 317-954
arrival location: 26-598 or 623-969
arrival station: 50-835 or 854-971
arrival platform: 44-535 or 549-958
arrival track: 36-672 or 685-967
class: 34-217 or 236-974
duration: 29-469 or 483-970
price: 45-111 or 120-965
route: 32-751 or 760-954
row: 25-321 or 339-954
seat: 38-423 or 438-958
train: 45-798 or 813-954
type: 40-487 or 503-954
wagon: 46-916 or 938-949
zone: 25-160 or 184-957

your ticket:
73,59,83,127,137,151,71,139,67,53,89,79,61,109,131,103,149,97,107,101

nearby tickets:
782,297,512,592,171,360,774,483,653,294,299,519,448,916,939,293,535,63,54,648
650,284,299,520,890,792,654,774,639,887,655,654,313,662,83,650,137,570,700,505
12,126,760,151,298,484,782,149,141,416,285,450,747,294,111,660,562,780,776,93
159,671,77,361,577,363,74,459,725,217,504,738,456,817,453,454,207,789,124,880
464,856,729,116,581,666,189,938,595,65,369,189,691,939,132,365,446,370,689,895
400,64,422,509,95,138,724,701,444,199,360,828,95,776,465,551,348,640,837,372
452,699,70,946,596,891,828,77,352,503,395,794,595,310,817,690,419,111,88,413
439,54,839,626,462,452,653,138,715,152,596,508,405,822,370,916,217,527,723,817
167,827,522,284,693,101,204,206,60,507,785,628,460,741,438,530,447,726,884,259
455,96,703,813,419,402,760,371,523,403,949,94,202,107,343,699,834,556,547,771
60,350,55,131,110,949,686,831,648,577,685,50,420,94,289,899,305,67,237,530
368,880,883,215,52,351,819,656,296,706,636,400,586,193,623,492,652,744,667,283
450,647,439,862,780,668,878,859,570,779,694,833,786,444,781,116,259,438,78,584
670,519,830,205,647,520,694,202,597,508,281,456,670,343,444,733,889,520,138,98
356,343,157,441,419,731,195,398,704,442,350,295,128,97,856,155,116,881,533,554
637,590,412,576,187,553,51,516,730,505,215,728,342,396,658,632,67,408,114,446
292,685,883,833,450,728,748,574,85,769,300,86,654,89,591,554,886,697,549,988
151,407,286,697,195,649,521,375,710,418,982,643,353,215,290,350,439,365,407,154
528,484,504,594,202,86,506,517,670,130,641,691,366,828,298,65,379,349,402,535
457,193,447,857,553,442,532,516,777,395,824,707,352,301,201,86,417,583,232,55
451,657,518,759,237,356,831,634,660,716,80,358,64,372,781,297,941,901,517,891
346,408,438,140,702,194,505,319,658,760,509,650,352,683,667,357,256,404,50,568
321,749,750,198,369,107,13,79,896,60,63,91,830,80,886,140,644,103,448,704
144,199,65,0,63,366,896,58,292,369,318,206,862,581,712,574,701,947,411,408
287,416,326,895,483,418,50,577,102,187,666,826,640,591,438,831,82,353,128,747
