60,140
1044,50
878,203
641,606
669,606
947,686
370,534
251,703
1215,432
1280,542
1263,481
701,703
47,257
1173,820
1082,387
1220,217
152,796
624,799
522,147
951,584
1255,144
1179,534
224,296
488,527
99,838
189,857
440,766
1148,302
492,190
82,530
1019,514
75,707
1084,589
710,429
1123,666
1192,810
755,56
791,866
788,876
363,42
1290,429
676,17
208,362
976,492
1290,744
237,705
961,831
137,596
1218,312
228,3
795,4
1275,798
1098,93
649,234
266,844
410,187
291,852
597,598
212,801
131,360
1260,607
1069,184
438,198
763,210
1272,529
55,592
751,822
383,358
228,611
746,217
219,358
713,282
556,443
957,78
363,14
1203,28
542,409
787,422
788,147
845,526
109,826
90,677
1091,358
90,217
382,40
764,518
944,618
835,819
156,672
653,289
1253,737
912,236
75,365
320,784
284,729
649,794
167,341
408,635
835,75
599,21
92,358
557,113
62,417
597,150
1099,257
610,586
393,522
1203,600
875,403
35,686
1275,422
1141,872
184,362
730,390
726,809
234,689
87,259
1223,22
100,346
992,236
1064,584
947,42
182,178
1215,74
316,368
95,462
1203,236
1034,261
547,600
181,320
1212,611
1171,628
1150,284
982,669
1266,756
694,305
803,724
445,551
1173,688
1173,686
542,428
537,750
567,299
676,196
594,476
539,413
989,800
773,103
195,472
887,24
1014,411
72,236
1103,250
195,422
16,82
395,696
812,217
392,731
925,494
980,79
537,103
219,403
1154,670
1250,306
927,536
832,131
1228,513
609,191
937,78
612,646
264,809
1190,197
57,109
701,191
1082,3
416,266
940,534
3,117
1237,593
437,686
933,808
408,859
1039,536
788,828
681,126
55,693
1073,441
795,101
1131,170
1256,854
179,75
330,815
131,870
64,443
510,828
1111,96
895,807
1016,857
199,239
1240,210
710,465
873,686
765,675
1253,785
1163,147
1014,595
443,861
1196,353
719,121
194,707
306,660
348,822
624,859
1190,151
559,500
1012,421
756,548
600,465
53,798
1212,731
442,9
30,156
1231,502
1171,345
1102,362
276,358
786,373
272,40
448,295
154,124
1297,493
306,698
269,176
1089,292
791,28
584,460
1014,483
179,724
495,501
947,852
420,660
1218,358
75,463
850,633
663,254
602,696
887,276
32,37
358,231
619,514
115,481
1071,87
1215,522
137,52
547,206
547,210
579,871
1203,654
1126,851
1266,138
1183,696
768,18
997,717
536,829
373,302
986,392
199,605
137,368
373,592
1156,124
890,533
803,500
211,257
648,850
1004,38
522,66
269,381
1072,714
1250,588
902,259
803,595
735,502
1215,822
333,94
118,810
1203,866
711,715
423,618
656,858
154,546
577,617
1310,858
1223,747
1150,232
999,842
30,409
435,627
818,750
997,24
241,262
587,618
75,879
597,282
925,16
79,392
644,93
79,54
360,37
656,652
1248,477
48,312
470,250
848,366
1146,876
1054,877
115,413
455,15
1092,373
376,39
982,225
875,267
492,893
731,707
162,704
508,812
641,292
251,191
328,669
192,752
808,212
182,268
485,882
455,798
231,170
559,72
855,798
546,518
179,453
402,166
979,789
1158,796
495,841
42,565
1019,42
1116,822
1074,434
604,485
599,715
579,891
475,371
647,786
1297,736
398,809
1064,785
798,868
1158,462
716,844
440,128
1079,432
616,305
546,297
160,610
850,261
417,441
199,646
221,292
555,345
803,394
54,40
55,302
